Toleo;Corrente;Tamb;Tempo
47;400;19,2;1/3/21 2:54
47;400;19,4;1/3/21 2:55
47;400;19,6;1/3/21 2:56
47;400;19,8;1/3/21 2:57
48;800;20;1/3/21 2:58
48;800;20,2;1/3/21 2:59
48;800;20,4;1/3/21 3:00
49;800;20,6;1/3/21 3:01
49;800;20,8;1/3/21 3:02
50;800;21;1/3/21 3:03
50;800;21,2;1/3/21 3:04
51;800;21,4;1/3/21 3:05
51;800;21,6;1/3/21 3:06
52;800;21,8;1/3/21 3:07
52;800;22;1/3/21 3:08
53;800;22,2;1/3/21 3:09
53;800;22,4;1/3/21 3:10
54;800;22,6;1/3/21 3:11
54;800;22,8;1/3/21 3:12
55;700;23;1/3/21 3:13
55;700;23,2;1/3/21 3:14
56;700;23,4;1/3/21 3:15
56;700;23,6;1/3/21 3:16
57;700;23,8;1/3/21 3:17
57;700;24;1/3/21 3:18
58;700;24,2;1/3/21 3:19
58;700;24,4;1/3/21 3:20
59;700;24,6;1/3/21 3:21
59;700;24,8;1/3/21 3:22
60;700;25;1/3/21 3:23
60;700;25,2;1/3/21 3:24
61;700;25,4;1/3/21 3:25
61;700;25,6;1/3/21 3:26
62;700;25,8;1/3/21 3:27
62;700;26;1/3/21 3:28
63;700;26,2;1/3/21 3:29
63;700;26,4;1/3/21 3:30
64;700;26,6;1/3/21 3:31
64;700;26,8;1/3/21 3:32
65;700;27;1/3/21 3:33
65;700;27,2;1/3/21 3:34
66;700;27,4;1/3/21 3:35
66;700;27,6;1/3/21 3:36
67;700;27,8;1/3/21 3:37
67;700;28;1/3/21 3:38
68;700;28,2;1/3/21 3:39
68;700;28,4;1/3/21 3:40
69;500;28,6;1/3/21 3:41
69;500;28,8;1/3/21 3:42
68;500;29;1/3/21 3:43
68;500;29,2;1/3/21 3:44
67;500;29,4;1/3/21 3:45
67;500;29,6;1/3/21 3:46
66;500;29,8;1/3/21 3:47
66;500;30;1/3/21 3:48
65;500;29,8;1/3/21 3:49
65;500;29,6;1/3/21 3:50
64;500;29,4;1/3/21 3:51
64;500;29,2;1/3/21 3:52
63;500;29;1/3/21 3:53
63;500;28,8;1/3/21 3:54
62;400;28,6;1/3/21 3:55
62;400;28,4;1/3/21 3:56
61;400;28,2;1/3/21 3:57
61;400;28;1/3/21 3:58
60;400;27,8;1/3/21 3:59
60;400;27,6;1/3/21 4:00
59;400;27,4;1/3/21 4:01
59;400;27,2;1/3/21 4:02
58;400;27;1/3/21 4:03
58;400;26,8;1/3/21 4:04
57;800;26,6;1/3/21 4:05
57;800;26,4;1/3/21 4:06
58;800;26,2;1/3/21 4:07
58;800;26;1/3/21 4:08
59;800;25,8;1/3/21 4:09
59;800;25,6;1/3/21 4:10
60;800;25,4;1/3/21 4:11
60;800;25,2;1/3/21 4:12
61;800;25;1/3/21 4:13
61;800;24,8;1/3/21 4:14
62;800;24,6;1/3/21 4:15
62;800;24,4;1/3/21 4:16
63;800;24,2;1/3/21 4:17
63;800;24;1/3/21 4:18
64;800;23,8;1/3/21 4:19
64;800;23,6;1/3/21 4:20
65;800;23,4;1/3/21 4:21
65;800;23,2;1/3/21 4:22
66;800;23;1/3/21 4:23
66;800;22,8;1/3/21 4:24
67;800;22,6;1/3/21 4:25
67;800;22,4;1/3/21 4:26
68;800;22,2;1/3/21 4:27
68;800;22;1/3/21 4:28
69;800;21,8;1/3/21 4:29
69;800;21,6;1/3/21 4:30
70;800;21,4;1/3/21 4:31
70;800;21,2;1/3/21 4:32
71;800;21;1/3/21 4:33
71;800;20,8;1/3/21 4:34
70;500;20,6;1/3/21 4:35
69;500;20,4;1/3/21 4:36
68;500;20,2;1/3/21 4:37
67;500;20;1/3/21 4:38
66;500;19,9;1/3/21 4:39
65;500;19,8;1/3/21 4:40
64;500;19,7;1/3/21 4:41
63;500;19,6;1/3/21 4:42
62;400;19,5;1/3/21 4:43
61;400;19,4;1/3/21 4:44
60;400;19,3;1/3/21 4:45
59;400;19,2;1/3/21 4:46
59;400;19;1/3/21 4:47
59;400;19;1/3/21 4:48
58;400;19;1/3/21 4:49
58;400;18,9;1/3/21 4:50
57;400;18,9;1/3/21 4:51
57;400;18,9;1/3/21 4:52
56;400;18,8;1/3/21 4:53
56;400;18,8;1/3/21 4:54
55;400;18,8;1/3/21 4:55
55;400;18,8;1/3/21 4:56
54;400;18,7;1/3/21 4:57
54;400;18,7;1/3/21 4:58
53;400;18,6;1/3/21 4:59
53;400;18,6;1/3/21 5:00
52;400;18,5;1/3/21 5:01
52;400;18,5;1/3/21 5:02
51;400;18,4;1/3/21 5:03
51;400;18,4;1/3/21 5:04
50;400;18,3;1/3/21 5:05
50;400;18,3;1/3/21 5:06
49;400;18,2;1/3/21 5:07
49;400;18,2;1/3/21 5:08
49;400;18,1;1/3/21 5:09
49;400;18,1;1/3/21 5:10
49;400;18;1/3/21 5:11
49;400;18,2;1/3/21 5:12
49;400;18,4;1/3/21 5:13
49;400;18,6;1/3/21 5:14
49;400;18,8;1/3/21 5:15
49;400;19;1/3/21 5:16
49;400;19,2;1/3/21 5:17
49;400;19,4;1/3/21 5:18
49;400;19,6;1/3/21 5:19
49;400;19,8;1/3/21 5:20
50;800;20;1/3/21 5:21
50;800;20,2;1/3/21 5:22
50;800;20,4;1/3/21 5:23
51;800;20,6;1/3/21 5:24
51;800;20,8;1/3/21 5:25
52;800;21;1/3/21 5:26
52;800;21,2;1/3/21 5:27
53;800;21,4;1/3/21 5:28
53;800;21,6;1/3/21 5:29
54;800;21,8;1/3/21 5:30
54;800;22;1/3/21 5:31
55;800;22,2;1/3/21 5:32
55;800;22,4;1/3/21 5:33
56;800;22,6;1/3/21 5:34
56;800;22,8;1/3/21 5:35
57;700;23;1/3/21 5:36
57;700;23,2;1/3/21 5:37
58;700;23,4;1/3/21 5:38
58;700;23,6;1/3/21 5:39
59;700;23,8;1/3/21 5:40
59;700;24;1/3/21 5:41
60;700;24,2;1/3/21 5:42
60;700;24,4;1/3/21 5:43
61;700;24,6;1/3/21 5:44
61;700;24,8;1/3/21 5:45
62;700;25;1/3/21 5:46
62;700;25,2;1/3/21 5:47
63;700;25,4;1/3/21 5:48
63;700;25,6;1/3/21 5:49
64;700;25,8;1/3/21 5:50
64;700;26;1/3/21 5:51
65;700;26,2;1/3/21 5:52
65;700;26,4;1/3/21 5:53
66;700;26,6;1/3/21 5:54
66;700;26,8;1/3/21 5:55
67;700;27;1/3/21 5:56
67;700;27,2;1/3/21 5:57
68;700;27,4;1/3/21 5:58
68;700;27,6;1/3/21 5:59
69;700;27,8;1/3/21 6:00
69;700;28;1/3/21 6:01
70;700;28,2;1/3/21 6:02
70;700;28,4;1/3/21 6:03
71;500;28,6;1/3/21 6:04
71;500;28,8;1/3/21 6:05
70;500;29;1/3/21 6:06
70;500;29,2;1/3/21 6:07
69;500;29,4;1/3/21 6:08
69;500;29,6;1/3/21 6:09
68;500;29,8;1/3/21 6:10
68;500;30;1/3/21 6:11
67;500;29,8;1/3/21 6:12
67;500;29,6;1/3/21 6:13
66;500;29,4;1/3/21 6:14
66;500;29,2;1/3/21 6:15
65;500;29;1/3/21 6:16
65;500;28,8;1/3/21 6:17
64;400;28,6;1/3/21 6:18
64;400;28,4;1/3/21 6:19
63;400;28,2;1/3/21 6:20
63;400;28;1/3/21 6:21
62;400;27,8;1/3/21 6:22
62;400;27,6;1/3/21 6:23
61;400;27,4;1/3/21 6:24
61;400;27,2;1/3/21 6:25
60;400;27;1/3/21 6:26
60;400;26,8;1/3/21 6:27
59;800;26,6;1/3/21 6:28
59;800;26,4;1/3/21 6:29
60;800;26,2;1/3/21 6:30
60;800;26;1/3/21 6:31
61;800;25,8;1/3/21 6:32
61;800;25,6;1/3/21 6:33
62;800;25,4;1/3/21 6:34
62;800;25,2;1/3/21 6:35
63;800;25;1/3/21 6:36
63;800;24,8;1/3/21 6:37
64;800;24,6;1/3/21 6:38
64;800;24,4;1/3/21 6:39
65;800;24,2;1/3/21 6:40
65;800;24;1/3/21 6:41
66;800;23,8;1/3/21 6:42
66;800;23,6;1/3/21 6:43
67;800;23,4;1/3/21 6:44
67;800;23,2;1/3/21 6:45
68;800;23;1/3/21 6:46
68;800;22,8;1/3/21 6:47
69;800;22,6;1/3/21 6:48
69;800;22,4;1/3/21 6:49
70;800;22,2;1/3/21 6:50
70;800;22;1/3/21 6:51
71;800;21,8;1/3/21 6:52
71;800;21,6;1/3/21 6:53
72;800;21,4;1/3/21 6:54
72;800;21,2;1/3/21 6:55
73;800;21;1/3/21 6:56
73;800;20,8;1/3/21 6:57
72;500;20,6;1/3/21 6:58
71;500;20,4;1/3/21 6:59
70;500;20,2;1/3/21 7:00
69;500;20;1/3/21 7:01
68;500;19,9;1/3/21 7:02
67;500;19,8;1/3/21 7:03
66;500;19,7;1/3/21 7:04
65;500;19,6;1/3/21 7:05
64;400;19,5;1/3/21 7:06
63;400;19,4;1/3/21 7:07
62;400;19,3;1/3/21 7:08
61;400;19,2;1/3/21 7:09
60;400;19,1;1/3/21 7:10
58;400;19;1/3/21 7:11
58;400;19;1/3/21 7:12
57;400;19;1/3/21 7:13
57;400;18,9;1/3/21 7:14
56;400;18,9;1/3/21 7:15
56;400;18,9;1/3/21 7:16
55;400;18,8;1/3/21 7:17
55;400;18,8;1/3/21 7:18
54;400;18,8;1/3/21 7:19
54;400;18,8;1/3/21 7:20
53;400;18,7;1/3/21 7:21
53;400;18,7;1/3/21 7:22
52;400;18,6;1/3/21 7:23
52;400;18,6;1/3/21 7:24
51;400;18,5;1/3/21 7:25
51;400;18,5;1/3/21 7:26
50;400;18,4;1/3/21 7:27
50;400;18,4;1/3/21 7:28
49;400;18,3;1/3/21 7:29
49;400;18,3;1/3/21 7:30
48;400;18,2;1/3/21 7:31
48;400;18,2;1/3/21 7:32
48;400;18,1;1/3/21 7:33
48;400;18,1;1/3/21 7:34
48;400;18;1/3/21 7:35
48;400;18,2;1/3/21 7:36
48;400;18,4;1/3/21 7:37
48;400;18,6;1/3/21 7:38
48;400;18,8;1/3/21 7:39
48;400;19;1/3/21 7:40
48;400;19,2;1/3/21 7:41
48;400;19,4;1/3/21 7:42
48;400;19,6;1/3/21 7:43
48;400;19,8;1/3/21 7:44
49;800;20;1/3/21 7:45
49;800;20,2;1/3/21 7:46
49;800;20,4;1/3/21 7:47
50;800;20,6;1/3/21 7:48
50;800;20,8;1/3/21 7:49
51;800;21;1/3/21 7:50
51;800;21,2;1/3/21 7:51
52;800;21,4;1/3/21 7:52
52;800;21,6;1/3/21 7:53
53;800;21,8;1/3/21 7:54
53;800;22;1/3/21 7:55
54;800;22,2;1/3/21 7:56
54;800;22,4;1/3/21 7:57
55;800;22,6;1/3/21 7:58
55;800;22,8;1/3/21 7:59
56;700;23;1/3/21 8:00
56;700;23,2;1/3/21 8:01
57;700;23,4;1/3/21 8:02
57;700;23,6;1/3/21 8:03
58;700;23,8;1/3/21 8:04
58;700;24;1/3/21 8:05
59;700;24,2;1/3/21 8:06
59;700;24,4;1/3/21 8:07
60;700;24,6;1/3/21 8:08
60;700;24,8;1/3/21 8:09
61;700;25;1/3/21 8:10
61;700;25,2;1/3/21 8:11
62;700;25,4;1/3/21 8:12
62;700;25,6;1/3/21 8:13
63;700;25,8;1/3/21 8:14
63;700;26;1/3/21 8:15
64;700;26,2;1/3/21 8:16
64;700;26,4;1/3/21 8:17
65;700;26,6;1/3/21 8:18
65;700;26,8;1/3/21 8:19
66;700;27;1/3/21 8:20
66;700;27,2;1/3/21 8:21
67;700;27,4;1/3/21 8:22
67;700;27,6;1/3/21 8:23
68;700;27,8;1/3/21 8:24
68;700;28;1/3/21 8:25
69;700;28,2;1/3/21 8:26
69;700;28,4;1/3/21 8:27
70;500;28,6;1/3/21 8:28
70;500;28,8;1/3/21 8:29
69;500;29;1/3/21 8:30
69;500;29,2;1/3/21 8:31
68;500;29,4;1/3/21 8:32
68;500;29,6;1/3/21 8:33
67;500;29,8;1/3/21 8:34
67;500;30;1/3/21 8:35
66;500;29,8;1/3/21 8:36
66;500;29,6;1/3/21 8:37
65;500;29,4;1/3/21 8:38
65;500;29,2;1/3/21 8:39
64;500;29;1/3/21 8:40
64;500;28,8;1/3/21 8:41
63;400;28,6;1/3/21 8:42
63;400;28,4;1/3/21 8:43
62;400;28,2;1/3/21 8:44
62;400;28;1/3/21 8:45
61;400;27,8;1/3/21 8:46
61;400;27,6;1/3/21 8:47
60;400;27,4;1/3/21 8:48
60;400;27,2;1/3/21 8:49
59;400;27;1/3/21 8:50
59;400;26,8;1/3/21 8:51
58;800;26,6;1/3/21 8:52
58;800;26,4;1/3/21 8:53
59;800;26,2;1/3/21 8:54
59;800;26;1/3/21 8:55
60;800;25,8;1/3/21 8:56
60;800;25,6;1/3/21 8:57
61;800;25,4;1/3/21 8:58
61;800;25,2;1/3/21 8:59
62;800;25;1/3/21 9:00
62;800;24,8;1/3/21 9:01
63;800;24,6;1/3/21 9:02
63;800;24,4;1/3/21 9:03
64;800;24,2;1/3/21 9:04
64;800;24;1/3/21 9:05
65;800;23,8;1/3/21 9:06
65;800;23,6;1/3/21 9:07
66;800;23,4;1/3/21 9:08
66;800;23,2;1/3/21 9:09
67;800;23;1/3/21 9:10
67;800;22,8;1/3/21 9:11
68;800;22,6;1/3/21 9:12
68;800;22,4;1/3/21 9:13
69;800;22,2;1/3/21 9:14
69;800;22;1/3/21 9:15
70;800;21,8;1/3/21 9:16
70;800;21,6;1/3/21 9:17
71;800;21,4;1/3/21 9:18
71;800;21,2;1/3/21 9:19
72;800;21;1/3/21 9:20
72;800;20,8;1/3/21 9:21
71;500;20,6;1/3/21 9:22
70;500;20,4;1/3/21 9:23
69;500;20,2;1/3/21 9:24
68;500;20;1/3/21 9:25
67;500;19,9;1/3/21 9:26
66;500;19,8;1/3/21 9:27
65;500;19,7;1/3/21 9:28
64;500;19,6;1/3/21 9:29
63;400;19,5;1/3/21 9:30
62;400;19,4;1/3/21 9:31
61;400;19,3;1/3/21 9:32
60;400;19,2;1/3/21 9:33
59;400;19,1;1/3/21 9:34
57;400;19;1/3/21 9:35
57;400;19;1/3/21 9:36
56;400;19;1/3/21 9:37
56;400;18,9;1/3/21 9:38
55;400;18,9;1/3/21 9:39
55;400;18,9;1/3/21 9:40
54;400;18,8;1/3/21 9:41
54;400;18,8;1/3/21 9:42
53;400;18,8;1/3/21 9:43
53;400;18,8;1/3/21 9:44
52;400;18,7;1/3/21 9:45
52;400;18,7;1/3/21 9:46
51;400;18,6;1/3/21 9:47
51;400;18,6;1/3/21 9:48
50;400;18,5;1/3/21 9:49
50;400;18,5;1/3/21 9:50
49;400;18,4;1/3/21 9:51
49;400;18,4;1/3/21 9:52
48;400;18,3;1/3/21 9:53
48;400;18,3;1/3/21 9:54
47;400;18,2;1/3/21 9:55
47;400;18,2;1/3/21 9:56
47;400;18,1;1/3/21 9:57
47;400;18,1;1/3/21 9:58
47;400;18;1/3/21 9:59
47;400;18,2;1/3/21 10:00
47;400;18,4;1/3/21 10:01
47;400;18,6;1/3/21 10:02
47;400;18,8;1/3/21 10:03
47;400;19;1/3/21 10:04
47;400;19,2;1/3/21 10:05
47;400;19,4;1/3/21 10:06
47;400;19,6;1/3/21 10:07
47;400;19,8;1/3/21 10:08
48;800;20;1/3/21 10:09
48;800;20,2;1/3/21 10:10
48;800;20,4;1/3/21 10:11
49;800;20,6;1/3/21 10:12
49;800;20,8;1/3/21 10:13
50;800;21;1/3/21 10:14
50;800;21,2;1/3/21 10:15
51;800;21,4;1/3/21 10:16
51;800;21,6;1/3/21 10:17
52;800;21,8;1/3/21 10:18
52;800;22;1/3/21 10:19
53;800;22,2;1/3/21 10:20
53;800;22,4;1/3/21 10:21
54;800;22,6;1/3/21 10:22
54;800;22,8;1/3/21 10:23
55;700;23;1/3/21 10:24
55;700;23,2;1/3/21 10:25
56;700;23,4;1/3/21 10:26
56;700;23,6;1/3/21 10:27
57;700;23,8;1/3/21 10:28
57;700;24;1/3/21 10:29
58;700;24,2;1/3/21 10:30
58;700;24,4;1/3/21 10:31
59;700;24,6;1/3/21 10:32
59;700;24,8;1/3/21 10:33
60;700;25;1/3/21 10:34
60;700;25,2;1/3/21 10:35
61;700;25,4;1/3/21 10:36
61;700;25,6;1/3/21 10:37
62;700;25,8;1/3/21 10:38
62;700;26;1/3/21 10:39
63;700;26,2;1/3/21 10:40
63;700;26,4;1/3/21 10:41
64;700;26,6;1/3/21 10:42
64;700;26,8;1/3/21 10:43
65;700;27;1/3/21 10:44
65;700;27,2;1/3/21 10:45
66;700;27,4;1/3/21 10:46
66;700;27,6;1/3/21 10:47
67;700;27,8;1/3/21 10:48
67;700;28;1/3/21 10:49
68;700;28,2;1/3/21 10:50
68;700;28,4;1/3/21 10:51
69;500;28,6;1/3/21 10:52
69;500;28,8;1/3/21 10:53
68;500;29;1/3/21 10:54
68;500;29,2;1/3/21 10:55
67;500;29,4;1/3/21 10:56
67;500;29,6;1/3/21 10:57
66;500;29,8;1/3/21 10:58
66;500;30;1/3/21 10:59
65;500;29,8;1/3/21 11:00
65;500;29,6;1/3/21 11:01
64;500;29,4;1/3/21 11:02
64;500;29,2;1/3/21 11:03
63;500;29;1/3/21 11:04
63;500;28,8;1/3/21 11:05
62;400;28,6;1/3/21 11:06
62;400;28,4;1/3/21 11:07
61;400;28,2;1/3/21 11:08
61;400;28;1/3/21 11:09
60;400;27,8;1/3/21 11:10
60;400;27,6;1/3/21 11:11
59;400;27,4;1/3/21 11:12
59;400;27,2;1/3/21 11:13
58;400;27;1/3/21 11:14
58;400;26,8;1/3/21 11:15
57;800;26,6;1/3/21 11:16
57;800;26,4;1/3/21 11:17
58;800;26,2;1/3/21 11:18
58;800;26;1/3/21 11:19
59;800;25,8;1/3/21 11:20
59;800;25,6;1/3/21 11:21
60;800;25,4;1/3/21 11:22
60;800;25,2;1/3/21 11:23
61;800;25;1/3/21 11:24
61;800;24,8;1/3/21 11:25
62;800;24,6;1/3/21 11:26
62;800;24,4;1/3/21 11:27
63;800;24,2;1/3/21 11:28
63;800;24;1/3/21 11:29
64;800;23,8;1/3/21 11:30
64;800;23,6;1/3/21 11:31
65;800;23,4;1/3/21 11:32
65;800;23,2;1/3/21 11:33
66;800;23;1/3/21 11:34
66;800;22,8;1/3/21 11:35
67;800;22,6;1/3/21 11:36
67;800;22,4;1/3/21 11:37
68;800;22,2;1/3/21 11:38
68;800;22;1/3/21 11:39
69;800;21,8;1/3/21 11:40
69;800;21,6;1/3/21 11:41
70;800;21,4;1/3/21 11:42
70;800;21,2;1/3/21 11:43
71;800;21;1/3/21 11:44
71;800;20,8;1/3/21 11:45
70;500;20,6;1/3/21 11:46
69;500;20,4;1/3/21 11:47
68;500;20,2;1/3/21 11:48
67;500;20;1/3/21 11:49
66;500;19,9;1/3/21 11:50
65;500;19,8;1/3/21 11:51
64;500;19,7;1/3/21 11:52
63;500;19,6;1/3/21 11:53
62;400;19,5;1/3/21 11:54
61;400;19,4;1/3/21 11:55
60;400;19,3;1/3/21 11:56
59;400;19,2;1/3/21 11:57
59;400;19;1/3/21 11:58
59;400;19;1/3/21 11:59
58;400;19;1/3/21 12:00
58;400;18,9;1/3/21 12:01
57;400;18,9;1/3/21 12:02
57;400;18,9;1/3/21 12:03
56;400;18,8;1/3/21 12:04
56;400;18,8;1/3/21 12:05
55;400;18,8;1/3/21 12:06
55;400;18,8;1/3/21 12:07
54;400;18,7;1/3/21 12:08
54;400;18,7;1/3/21 12:09
53;400;18,6;1/3/21 12:10
53;400;18,6;1/3/21 12:11
52;400;18,5;1/3/21 12:12
52;400;18,5;1/3/21 12:13
51;400;18,4;1/3/21 12:14
51;400;18,4;1/3/21 12:15
50;400;18,3;1/3/21 12:16
50;400;18,3;1/3/21 12:17
49;400;18,2;1/3/21 12:18
49;400;18,2;1/3/21 12:19
49;400;18,1;1/3/21 12:20
49;400;18,1;1/3/21 12:21
49;400;18;1/3/21 12:22
49;400;18,2;1/3/21 12:23
49;400;18,4;1/3/21 12:24
49;400;18,6;1/3/21 12:25
49;400;18,8;1/3/21 12:26
49;400;19;1/3/21 12:27
49;400;19,2;1/3/21 12:28
49;400;19,4;1/3/21 12:29
49;400;19,6;1/3/21 12:30
49;400;19,8;1/3/21 12:31
50;800;20;1/3/21 12:32
50;800;20,2;1/3/21 12:33
50;800;20,4;1/3/21 12:34
51;800;20,6;1/3/21 12:35
51;800;20,8;1/3/21 12:36
52;800;21;1/3/21 12:37
52;800;21,2;1/3/21 12:38
53;800;21,4;1/3/21 12:39
53;800;21,6;1/3/21 12:40
54;800;21,8;1/3/21 12:41
54;800;22;1/3/21 12:42
55;800;22,2;1/3/21 12:43
55;800;22,4;1/3/21 12:44
56;800;22,6;1/3/21 12:45
56;800;22,8;1/3/21 12:46
57;700;23;1/3/21 12:47
57;700;23,2;1/3/21 12:48
58;700;23,4;1/3/21 12:49
58;700;23,6;1/3/21 12:50
59;700;23,8;1/3/21 12:51
59;700;24;1/3/21 12:52
60;700;24,2;1/3/21 12:53
60;700;24,4;1/3/21 12:54
61;700;24,6;1/3/21 12:55
61;700;24,8;1/3/21 12:56
62;700;25;1/3/21 12:57
62;700;25,2;1/3/21 12:58
63;700;25,4;1/3/21 12:59
63;700;25,6;1/3/21 13:00
64;700;25,8;1/3/21 13:01
64;700;26;1/3/21 13:02
65;700;26,2;1/3/21 13:03
65;700;26,4;1/3/21 13:04
66;700;26,6;1/3/21 13:05
66;700;26,8;1/3/21 13:06
67;700;27;1/3/21 13:07
67;700;27,2;1/3/21 13:08
68;700;27,4;1/3/21 13:09
68;700;27,6;1/3/21 13:10
